,label,text,cleaned_text
0,0,"- Awww, c'est un bummer. Tu devrais avoir david carr du troisième jour pour le faire. ;ré",awww bummer devrais avoir david carr troisi jour faire
1,0,"Est contrarié qu'il ne puisse pas mettre à jour son facebook en le télémaignant ... et peut-être pleurer en conséquence, l'école aujourd'hui aussi. blabla!",contrari puisse mettre jour facebook maignant peut tre pleurer cons quence cole aujourd hui aussi blabla
2,0,J'ai plongé plusieurs fois pour la balle. A réussi à économiser 50% le reste sort de limites,plong plusieurs fois balle ussi conomiser reste sort limites
3,0,Tout mon corps a des démangeaisons et comme si c'était en feu,tout corps mangeaisons comme si tait feu
4,0,"Non, il ne se comporte pas du tout. je suis en colère. pourquoi suis-je ici? Parce que je ne peux pas vous voir partout.",non comporte tout col re pourquoi ici parce peux voir partout
5,0,Pas l'équipage complet,quipage complet
6,0,besoin d'un câlin,besoin lin
7,0,"Bonjour pas de vue! Oui ... pleut un peu, juste un peu lol, je vais bien merci, comment ça va?",bonjour vue oui pleut peu juste peu lol vais bien merci comment va
8,0,"Non, ils ne l'avaient pas",non
9,0,Je meurs?,meurs
10,0,Vacances de printemps en ville ordinaire ... il neige,vacances printemps ville ordinaire neige
11,0,Je viens de perdre mes oreilles,viens perdre oreilles
12,0,Je ne pouvais pas supporter de le regarder. Et je pensais que la perte de l'ua était embarrassante. . . . .,pouvais supporter regarder pensais perte ua tait embarrassante
13,0,"Ça compte, idk pourquoi je l'ai fait non plus. Tu ne me parles plus",compte idk pourquoi fait non plus parles plus
14,0,"J'aurais été le premier, mais je n'avais pas d'arme à feu. Pas vraiment, zac snyder est juste une doucheclown.",premier arme feu vraiment zac snyder juste doucheclown
15,0,J'aimerais que je le regarde avec vous !! Tu me manques et comment était la première?,aimerais regarde manques comment tait premi re
16,0,La scène de la mort de Hollis va humer sévèrement de regarder le film en train de se débrouiller.,sc mort hollis va humer rement regarder film train brouiller
17,0,Sur le point de déposer des taxes,point poser taxes
18,0,Ahh ive toujours voulu voir le loyer adorer la bande originale !!,ahh ive toujours voulu voir loyer adorer bande originale
19,0,Oh cher. Est-ce que vous buviez des boissons de table oubliées?,oh cher buviez boissons table oubli
20,0,J'étais dehors la plupart du temps donc je n'ai pas beaucoup fait,tais dehors plupart temps donc beaucoup fait
21,0,Un de mes amis m'a appelé et a demandé de la rencontrer à la mi-vallée aujourd'hui ... mais je n'ai pas le temps * soupir *,amis appel demand rencontrer mi vall aujourd hui temps soupir
22,0,"Je vous ai cuisiné un gâteau, mais je l'ai appris",cuisin teau appris
23,0,Cette semaine ne va pas comme je l'avais espéré,cette semaine va comme esp
24,0,classe blagh demain à 8,classe blagh demain
25,0,Je déteste quand je dois appeler et réveiller les gens,teste quand dois appeler veiller gens
26,0,Je vais me crier après avoir regardé Marley et moi.,vais crier apr avoir regard marley
27,0,Je suis triste maintenant miss.lilly,triste maintenant miss lilly
28,0,"Ooooh .... lol que leslie .... et ok je ne le refuserai pas, donc leslie ne va pas se fâcher de nouveau",ooooh lol leslie ok refuserai donc leslie va cher nouveau
29,0,Meh ... presque l'amant est l'exception ... cette piste me déprime à chaque fois.,meh presque amant exception cette piste prime chaque fois
30,0,Some1 piraté mon compte sur le but maintenant je dois en créer un nouveau,some pirat compte but maintenant dois cr er nouveau
31,0,"Je veux aller pour promouvoir l'engrenage et le sillon, mais malheureusement, je ne vais pas là-bas. Je pourrais aller à celui d'Anaheim en mai",veux aller promouvoir engrenage sillon malheureusement vais bas pourrais aller celui anaheim mai
32,0,Pensé dormir dans était une option demain mais en réalisant que ce n'est pas le cas maintenant. Les évaluations le matin et le travail dans l'après-midi!,pens dormir tait option demain alisant cas maintenant valuations matin travail apr midi
33,0,"Crainte que je vous aime aussi !!!! Je suis ici, je vous manque",crainte aime aussi ici manque
34,0,Je pleure mes yeux asiatiques pour dormir la nuit,pleure yeux asiatiques dormir nuit
35,0,"Ok, je suis malade et j'ai passé une heure assise dans la douche parce que j'étais trop malade pour supporter et retenir le puke comme un champion. au lit maintenant",ok malade pass heure assise douche parce tais trop malade supporter retenir puke comme champion lit maintenant
